										입시결과 역환산 산출내역																				
자연 누적   (추정치)		의대감원			26수능 표준점수	대학	학과	계열	모집인원	대학별		반영방법			반영비율			백분위	표준점수			변표	등급 점수						가산점	비고
		영향	계열   	계열						환산점수 /	만점	국.수	탐구		국	수	탐	국.수.탐	국어	수학	탐구	탐구	영어	점수	한국사	점수	제2외국	점수	미기,과탐	
  (%)	 (명)	(명)	백분위	표준점수																										
0.88	1,910	-511 	98.63	404.48	409.70	인하대	의예과	자연	40	990.8 / 	1000	표점/만점	변표/만점	2과목	25	35	30	98.63	134.22	134.39	67.94	68.72	1등급	100	만점	0	만점	0	18.914	 미/기/과탐 3%
0.90	1,953	-511 	98.59	404.24	409.66	경북대	의예과(정시지역)	자연	6	727.11 / 	1000	표점	변표	2과목	25	38	25	98.59	134.15	134.31	67.89	69.04	1등급	125	만점	10	만점	0	0	
0.97	2,105	-511 	98.5	403.77	409.24	연세대(미래)	의예과	자연	21	721.75 / 	1000	표점	변표	2과목	22	33	33	98.5	134.00	134.17	67.80	68.44	1등급	111.11	만점	10	만점	0	0	
0.97	2,105	-520 	98.5	403.76	409.28	가천대	의예과	자연	40	98.4 / 	100	백분위	백분위	2과목	25	30	25	98.5	134.00	134.17	67.80		1등급	19.6	만점	0	만점	0	0	
1.01	2,192	-550 	98.46	403.56	409.04	한림대	의학	자연	36	975.2 / 	1000	표점/만점	표점/만점	2과목	20	40	30	98.46	133.94	134.11	66.94/67.91		1등급	100	만점	0	만점	0	0	877.68/900만점 
1.02	2,213	-256 	98.45	403.48	406.73	경희대	치의예과	자연	33	588.95 / 	800	표점	변표	2과목	20	35	30	98.45	133.92	134.08	67.74	68.55	1등급	120	만점	0	만점	0	9.6	 과탐9.6점 가산
1.06	2,300	-323 	98.41	403.27	406.65	서울대	전기·정보공학부	자연	53	406 / 	600	표점	표점	2과목	33	40	27	98.41	133.86	134.02	67.69		1등급	0	만점	0	만점	0	3	 물리/화학 필수, 과탐Ⅱ3점 가산
1.08	2,344	-215 	98.4	403.20	406.16	조선대	의예	자연	24	800.4 / 	800	백분위	백분위	1과목	25	35	15	98.4	133.83	134.00	67.68		1등급	200	만점	10	만점	0	0	
1.08	2,344	-215 	98.4	403.18	406.16	서울대	통계학과	자연	7	405.9 / 	600	표점	표점	2과목	33	40	27	98.4	133.83	133.99	67.68		1등급	0	만점	0	만점	0	3	 과탐Ⅱ3점 가산
1.10	2,387	-323 	98.37	403.04	406.33	성균관대	약학과	자연	30	678.92 / 	1000	표점	변표	2과목	20	40	30	98.37	133.79	133.95	67.65	67.86	1등급	63.5	만점	0	만점	0	10.179	 과탐5%가산
0.93	2,018	-256 	98.37	404.00	406.45	원광대	치의예(인문)	인문	4	509 / 	600	표점	표점	2과목	33	33	0	98.37	133.78	133.95	68.13		1등급	100	만점	5	만점	0	0	
1.15	2,496	-430 	98.33	402.79	406.36	동아대	의예	자연	20	610.55 / 	800	표점	표점	2과목	25	25	25	98.33	133.71	133.88	67.60		1등급	200	만점	1	만점	0	6.76	총점800 과탐5%
1.15	2,496	-430 	98.32	402.76	406.32	순천대	약학과	자연	7	296.64 / 	300	백분위	백분위	2과목	0	33	33	98.32	133.70	133.87	67.60		1등급	100	만점	0	만점	0	0	국/영 택1 
1.18	2,561	-550 	98.28	402.54	406.52	부산대	의예(지역)	자연	36	599.6 / 	800	표점	표점	2과목	20	30	30	98.28	133.64	133.80	67.55		1등급	160	만점	10	만점	0	0	
1.19	2,582	-550 	98.27	402.46	406.44	순천향대	의예	자연	30	1005 / 	200	백분위	백분위	2과목	20	30	20	98.27	133.61	133.78	67.54		1등급	57.6	만점	0	만점	0	9.827	 미/기/과탐10%가산
1.23	2,669	-550 	98.21	402.16	406.15	고신대	의예	자연	18	671.5 / 	1000	표점	표점	2과목	20	30	20	98.21	133.52	133.68	67.48		1등급	202.5	만점	0	만점	0	0	
1.25	2,713	-413 	98.19	402.05	405.66	서울대	광역(학부대학)	자연	36	401.8 / 	600	표점	표점	2과목	33	40	27	98.19	133.49	133.65	67.46		1등급	0	만점	0	만점	0	0	
1.26	2,734	-550 	98.18	401.99	405.98	전남대	의학과	자연	20	984.246 / 	800	표점/만점	표점/만점	2과목	30	40	30	98.18	133.47	133.63	66.7/67.91		1등급	200	만점	10	만점	0	0	
1.26	2,734	-550 	98.17	401.94	405.95	전북대	의예과	자연	33	371.73 / 	500	표점	변표	2과목	30	40	30	98.17	133.45	133.62	67.44	68.69	1등급	30	만점	5	만점	0	0	
1.27	2,756	-413 	98.16	401.87	405.50	건국대	수의예과	자연	39	703.82 / 	1000	표점	변표	2과목	30	40	20	98.16	133.43	133.59	67.42	68.25	1등급	100	만점	0	만점	0	0	
1.34	2,908	-550 	98.07	401.39	405.45	건국(글로컬)	의예(일반)	자연	23	975.17 / 	1000	표점/만점	표점/만점	2과목	20	30	30	98.07	133.28	133.45	66.61/67.91		1등급	200	만점	0	만점	0	0	
1.36	2,951	-413 	98.05	401.27	404.75	경희대	한의예과(자연)	자연	32	586.53 / 	800	표점	변표	2과목	20	35	30	98.05	133.25	133.41	67.30	68.15	1등급	120	만점	0	만점	0	9.6	 과탐9.6점 가산
1.35	2,930	-275 	98.05	401.31	403.84	경북대	치의예과	자연	14	723.21 / 	1000	표점	변표	2과목	25	38	25	98.05	133.26	133.42	67.31	68.59	1등급	125	만점	10	만점	0	0	
1.25	2,713	-275 	98.01	402.00	403.80	원광대	한의예(인문)	인문	5	507 / 	600	표점	표점	2과목	33	33	0	98.01	133.18	133.35	67.73		1등급	100	만점	5	만점	0	0	
1.39	3,016	-275 	98	401.01	403.73	동국(WISE)	한의예(유형Ⅱ)	통합	2	994 / 	1000	백분위	백분위	2과목	25	35	20	98	133.17	133.33	67.26		1등급	200	만점	10	만점	0	0	
1.39	3,016	-275 	98	401.01	403.33	조선대	치의예	자연	15	798 / 	800	백분위	백분위	1과목	25	35	15	98	133.17	133.33	67.26		1등급	200	만점	10	만점	0	0	
1.39	3,016	-550 	98	401.00	405.09	인제대	의예(지역)	자연	24	536 / 	800	표점	표점	2과목	25	25	25	98	133.16	133.33	67.25		1등급	135	만점	0	만점	0	0	
1.42	3,081	-415 	97.97	400.83	403.83	서울대	물리·천문학부 물리학전공	자연	12	403.6 / 	600	표점	표점	2과목	33	40	27	97.97	133.11	133.28	67.22		1등급	0	만점	0	만점	0	3	 물리/화학 필수, 과탐Ⅱ3점 가산
1.42	3,081	-550 	97.96	400.82	404.79	대구가톨릭대	의예과	자연	28	524.43 / 	800	표점	표점/만점	2과목	30	30	15	97.96	133.11	133.27	66.53/67.91		1등급	80	만점	6	만점	0	0	★26반영비 
1.43	3,103	-550 	97.94	400.71	404.57	을지대	의예	자연	15	986.5 / 	1000	백분위	백분위	2과목	30	30	30	97.94	133.07	133.24	67.20		1등급	100	만점	5	만점	0	0	
1.31	2,843	-403 	97.94	401.62	403.76	서울대	자유전공학부	통합	52	401.2 / 	600	표점	표점	2과목	33	40	27	97.94	133.07	133.23	67.66		1등급	0	만점	0	만점	0	0	
1.51	3,277	-537 	97.86	400.26	403.33	충북대	의예과	자연	25	994.59 / 	200	표점/만점	표점/만점	2과목	20	30	30	97.86	132.94	133.10	66.45/67.91		1등급	40	만점	0	만점	0	0	
1.58	3,429	-416 	97.8	399.91	402.47	중앙대	약학부	자연	49	794.6 / 	1000	표점	변표	2과목	30	35	35	97.8	132.85	132.98	67.04	68.74	1등급	100	만점	10	만점	0	12.03	 과탐5%가산
1.63	3,537	-473 	97.77	399.60	402.35	부산대	한의학전문대학원(학ㆍ석사통합과정)	자연	6	743 / 	1000	표점	표점	2과목	20	30	30	97.77	132.82	132.74	67.02		1등급	200	만점	10	만점	0	0	
1.63	3,537	-419 	97.77	399.57	402.16	동국대	약학과	자연	10	730.17 / 	1000	표점	변표	2과목	25	35	25	97.77	132.82	132.72	67.02	67.93	1등급	150	만점	0	만점	0	12.062	 미/기3%, 과탐3% 가산
1.63	3,537	-413 	97.77	399.58	402.15	경희대	약학과	자연	15	584.7 / 	800	표점	변표	2과목	20	35	30	97.77	132.82	132.72	67.02	67.93	1등급	120	만점	0	만점	0	9.6	 과탐9.6점 가산
1.64	3,559	-275 	97.77	399.50	401.77	전남대	의학과(지역)	자연	25	979.367 / 	800	표점/만점	표점/만점	2과목	30	40	30	97.77	132.81	132.66	66.37/67.91		1등급	200	만점	10	만점	0	0	
1.66	3,602	-420 	97.76	399.42	402.03	가톨릭대	약학과	자연	10	669.47 / 	1000	표점	변표	2과목	30	40	30	97.76	132.80	132.60	67.01	68.36	1등급	0	만점	0	만점	0	0	
1.67	3,624	-562 	97.75	399.35	402.36	한양대	반도체공학과	자연	9	962.58 / 	1000	표점/만점	변표/만점	2과목	25	40	25	97.75	132.79	132.55	67.00	68.61	1등급	100	만점	0	만점	0	0	
1.51	3,277	-282 	97.75	400.28	402.20	서울대	경영대학	통합	54	399.8 / 	600	표점	표점	2과목	33	40	27	97.75	132.79	132.53	67.48		1등급	0	만점	0	만점	0	0	
1.67	3,624	-422 	97.75	399.30	401.95	서울대	산업공학과	자연	12	402 / 	600	표점	표점	2과목	33	40	27	97.75	132.79	132.51	67.00		1등급	0	만점	0	만점	0	3	 과탐Ⅱ3점 가산
